DEPTH,COT_anl,COT,GR,NPHI,PE,RHOB,DT,RT
2526.0,,0.36,59.89,2.42,3.67,2.25,51.06,1.25
2544.0,,0.58,89.72,4.54,2.88,2.4,97.91,0.88
3282.0,,0.43,73.53,3.8,3.13,2.46,88.29,0.03
3300.0,,0.52,62.97,4.34,3.27,2.44,86.79,0.03
3318.0,,0.65,64.49,5.3,3.19,2.48,85.7,0.03
3336.0,,0.72,64.64,4.5,4.02,2.47,86.53,0.03
3354.0,,0.58,60.97,6.72,3.35,2.53,86.02,0.03
3390.0,,0.71,49.24,6.92,3.55,2.29,87.71,0.03
3426.0,,0.68,59.04,5.5,3.23,2.34,83.82,0.03
3444.0,,0.64,45.92,5.04,3.45,2.57,82.86,0.03
3498.0,,0.62,60.72,4.96,3.5,2.56,76.4,0.03
3516.0,,0.56,53.92,5.76,3.24,2.57,79.87,0.04
3534.0,,0.6,63.53,4.5,3.44,2.58,77.52,0.03
3552.0,,0.57,55.85,6.04,3.29,2.54,80.64,0.03
3588.0,,0.59,35.18,6.3,3.48,2.38,77.29,0.04
3750.0,,0.6,52.73,4.48,3.42,2.55,69.94,0.03
3786.0,,0.52,56.3,4.94,3.03,2.52,74.75,0.03
3804.0,,0.53,58.96,4.88,2.98,2.53,70.64,0.03
3840.0,,0.41,44.34,6.0,3.37,2.48,68.55,0.03
3858.0,,0.49,42.29,5.5,3.24,2.54,73.53,0.03
3912.0,,0.39,43.58,9.9,4.05,2.48,60.68,0.03
3930.0,,0.37,50.27,3.88,3.17,2.54,63.19,0.03
3966.0,,0.36,51.53,3.02,3.01,2.54,63.42,0.03
3984.0,,0.41,48.05,3.08,2.85,2.58,61.84,0.13
4002.0,,0.42,76.37,4.08,2.96,2.55,68.0,0.03
4110.0,,0.37,62.27,3.86,3.95,2.51,67.12,0.03
4200.0,,0.69,78.56,3.84,3.13,2.6,65.0,0.03
4218.0,,0.5,53.77,2.85,3.12,2.58,64.47,0.03
4254.0,,0.43,46.07,5.06,3.17,2.56,64.51,0.03
4290.0,,0.43,51.98,5.38,3.4,2.47,67.16,0.03
4308.0,,0.42,60.02,3.92,2.97,2.6,66.36,0.03
4326.0,,0.43,70.86,3.8,3.06,2.58,65.09,0.03
4344.0,,0.38,61.79,3.9,3.18,2.6,63.94,0.03
4362.0,,0.4,67.65,3.64,3.03,2.6,68.16,0.03
4380.0,,0.4,61.61,3.86,3.28,2.6,62.89,0.03
4398.0,,0.4,49.11,5.28,4.12,2.51,55.6,0.03
4416.0,,0.77,48.1,5.14,3.42,2.59,64.37,0.03
4434.0,,0.41,61.43,3.98,2.91,2.59,63.31,0.03
4452.0,,0.46,45.42,4.1,2.98,2.58,63.26,0.03
4470.0,,0.47,83.21,3.7,4.29,2.4,68.65,0.95
4524.0,,0.32,99.45,2.52,2.9,2.65,63.99,3.7
4560.0,,0.57,93.06,1.86,2.79,2.58,61.26,2.28
4578.0,,0.47,94.63,2.3,3.12,2.59,65.68,3.92
4596.0,,0.46,97.94,2.28,2.92,2.56,64.06,2.4
4614.0,,0.51,82.37,2.4,3.07,2.55,64.9,2.81
4632.0,,0.52,79.28,2.3,3.08,2.62,61.81,2.65
4650.0,,0.5,91.21,2.02,3.14,2.6,64.98,2.95
4668.0,,0.39,94.53,2.22,3.28,2.59,62.06,3.4
4686.0,,0.38,96.94,2.4,3.1,2.6,61.66,2.84
4704.0,,0.36,98.61,1.86,4.25,2.64,60.38,3.16
4998.0,,0.64,120.61,2.64,4.05,2.69,61.84,6.1
5016.0,,0.62,113.77,1.22,3.72,2.67,59.45,6.25
5034.0,,0.7,83.5,2.92,5.86,2.43,50.98,0.31
5052.0,,0.49,102.3,1.58,5.94,2.3,55.02,0.41
5160.0,,0.81,92.28,1.98,3.25,2.54,68.2,3.48
5178.0,,0.66,87.97,1.48,3.49,2.62,58.89,5.29
5196.0,,0.53,95.17,2.5,3.22,2.65,61.66,6.04
5313.5,,3.07,128.07,1.9,4.4,2.6,61.46,3.92
5313.5,,3.07,128.07,1.9,4.4,2.6,61.46,3.92
5314.5,,4.63,176.16,3.3,4.2,2.52,46.7,9.84
5314.5,,4.63,176.16,3.3,4.2,2.52,46.7,9.84
5314.5,,5.05,176.16,3.3,4.2,2.52,46.7,9.84
5322.0,,2.55,77.08,0.98,3.61,2.65,69.09,4.6
5340.0,,2.81,61.64,1.05,2.97,2.53,70.09,3.41
5358.0,,2.47,73.18,1.16,2.99,2.55,67.31,4.43
5371.5,,1.65,70.72,1.08,3.24,2.63,72.87,8.81
5376.0,,2.98,72.25,0.68,3.58,2.63,66.58,12.05
5394.0,,2.4,78.89,1.0,3.51,2.66,62.76,9.7
5448.0,,0.82,53.37,16.38,4.47,2.56,68.08,123.61
5466.0,,0.94,53.37,15.65,4.62,2.57,67.41,133.32
5484.0,,0.84,53.37,15.65,4.62,2.57,67.61,133.32
5538.0,,0.51,53.37,15.65,4.62,2.56,68.2,133.32
5592.0,,0.81,53.37,15.65,4.62,2.56,68.8,133.32
5610.0,,0.53,53.37,15.65,4.62,2.55,68.99,133.32
5628.0,,1.55,53.37,15.65,4.62,2.55,69.19,133.32
5646.0,,0.56,53.37,15.65,4.62,2.55,69.39,133.32
5664.0,,0.5,53.37,15.65,4.62,2.55,69.59,133.32
5718.0,,0.47,53.37,15.65,4.62,2.54,70.19,133.32
5736.0,,0.44,53.37,15.65,4.62,2.54,70.38,133.32
5754.0,,0.39,53.37,15.65,4.62,2.54,70.58,133.32
5772.0,,0.5,53.37,15.65,4.62,2.54,70.78,133.32
5808.0,,0.47,53.37,15.65,4.62,2.53,71.18,133.32
5826.0,,0.62,53.37,15.65,4.62,2.53,71.38,133.32
5862.0,,0.61,53.37,15.65,4.62,2.53,71.77,133.32
5880.0,,1.27,53.37,15.65,4.62,2.53,71.97,133.32
5898.0,,0.63,53.37,15.65,4.62,2.53,72.17,133.32
5916.0,,0.63,56.83,19.34,3.41,2.3,56.22,0.01
5952.0,,1.69,62.64,12.9,4.12,2.42,58.7,0.01
5970.0,,1.75,46.82,15.52,4.01,2.38,54.6,0.01
5988.0,,2.02,33.7,1.45,5.53,2.62,53.19,0.01
6006.0,,0.86,62.99,13.82,4.31,2.39,63.5,0.01
6024.0,,0.69,47.89,15.07,4.52,2.38,55.42,0.0
6024.0,,0.69,47.89,15.07,4.52,2.38,55.42,0.0
6024.0,,2.09,47.89,15.07,4.52,2.38,55.42,0.0
6042.0,,2.81,36.88,31.33,2.71,2.42,55.44,0.0
6060.0,,2.57,115.29,16.68,4.18,2.07,65.48,142.75
6071.0,,0.19,55.0,2.12,6.55,2.37,68.17,333.93
6078.0,,2.55,84.46,1.84,4.6,2.7,55.91,146.68
6081.0,,0.23,35.27,0.68,6.5,2.69,55.09,166.63
6085.5,,0.39,57.75,0.7,5.87,2.65,58.43,440.15
6087.0,,3.03,62.74,1.4,5.4,2.65,63.0,302.01
6090.0,,1.5,110.26,1.58,4.22,2.45,71.84,625.7
6091.0,,1.18,98.19,0.94,4.42,2.57,67.47,555.63
6091.0,,1.1,98.19,0.94,4.42,2.57,67.47,555.63
6091.0,,1.1,98.19,0.94,4.42,2.57,67.47,555.63
6093.0,,1.47,68.81,1.2,5.22,2.65,56.15,529.08
6096.0,,3.1,40.06,0.7,7.39,2.48,61.42,436.18
6099.0,,3.44,67.28,1.2,5.25,2.63,70.22,399.16
6102.0,,1.59,52.2,1.08,6.82,2.67,62.6,229.02
6135.0,,2.45,88.49,1.7,4.61,2.64,71.02,188.9
6144.0,,4.21,74.51,1.5,5.19,2.64,65.27,156.65
6147.0,,1.91,57.87,0.9,5.57,2.63,64.55,966.93
6150.0,,3.23,104.05,1.8,4.13,2.63,62.69,194.45
6153.0,,3.53,88.99,1.3,4.6,2.64,60.22,241.43
6156.0,,1.73,67.67,0.7,5.2,2.67,60.78,11.34
6159.0,,2.61,64.65,0.98,5.38,2.66,62.71,294.28
6162.0,,2.11,57.27,1.08,5.77,2.67,61.98,552.97
6165.0,,2.06,91.7,0.8,4.5,2.68,58.73,226.22
6168.0,,2.01,80.97,1.7,5.01,2.59,71.46,269.4
6171.0,,1.91,51.6,0.6,6.64,2.68,58.98,184.64
6177.0,,2.01,31.47,0.54,5.45,2.64,57.48,65.9
6180.0,,2.12,30.47,0.7,5.89,2.65,58.57,14.07
6183.0,,3.01,27.3,0.5,5.62,2.62,55.6,47.81
6184.0,,0.05,100.1,1.9,4.3,2.68,64.65,186.98
6186.0,,2.94,14.16,0.0,5.74,2.63,56.26,1.9
6189.0,,3.07,46.35,2.52,5.4,2.27,76.53,9.87
6192.0,,2.54,30.17,1.86,5.82,2.6,62.12,56.23
6195.0,,2.33,43.16,-0.58,5.91,2.72,87.04,20.0
6198.0,,1.99,16.47,0.0,5.84,2.94,55.57,1672.02
6198.0,,1.99,16.47,0.0,5.84,2.94,55.57,1672.02
6198.0,,1.99,16.47,0.0,5.84,2.94,55.57,1672.02
6198.0,,2.51,16.47,0.0,5.84,2.94,55.57,1672.02
6201.0,,2.47,33.84,0.9,6.35,2.65,63.35,149.85
6204.0,,2.03,29.14,-0.4,5.97,2.7,62.93,29.4
6207.0,,2.07,15.69,0.0,5.45,2.9,53.58,161.92
6225.0,,0.73,27.66,0.64,5.68,2.69,55.05,78.39
6227.5,,0.26,32.85,0.7,5.44,2.67,56.21,209.34
6228.0,,0.75,24.33,0.76,5.68,2.68,55.7,58.93
6231.0,,0.96,35.95,0.66,5.41,2.66,56.74,42.87
6266.0,,0.75,44.32,1.0,6.06,2.64,62.03,18.44
6267.0,,0.74,47.5,1.02,6.7,2.68,59.44,7.52
6276.0,,0.99,45.01,0.6,6.48,2.67,55.37,1097.11
6279.0,,0.82,49.31,1.4,6.68,2.57,68.16,34.49
6282.0,,1.24,62.26,2.0,4.73,2.44,80.45,60.56
6285.0,,2.82,52.02,1.84,5.75,2.5,73.66,19.71
6285.0,,3.64,52.02,1.84,5.75,2.5,73.66,19.71
6285.0,,0.95,52.02,1.84,5.75,2.5,73.66,19.71
6286.5,,0.5,50.6,2.3,5.82,2.5,74.87,22.74
6291.0,,1.2,47.64,1.64,5.97,2.53,73.11,18.79
6294.0,,1.01,76.18,1.88,4.69,2.49,70.43,20.14
6297.0,,0.84,51.98,3.03,6.29,2.39,70.08,30.74
6300.0,,1.13,52.4,1.22,5.62,2.55,70.42,11.01
6303.0,,1.06,56.6,1.2,5.08,2.51,70.46,19.89
6306.0,,1.03,57.86,1.18,5.13,2.49,70.51,19.93
6309.0,,1.15,55.73,1.2,5.07,2.48,70.62,19.87
6315.0,,0.95,41.07,0.9,6.49,2.47,70.69,19.93
6318.0,,1.16,41.07,0.9,6.49,2.48,70.72,19.93
6321.0,,1.31,41.07,0.9,6.49,2.41,70.76,19.93
6324.0,,1.21,41.07,0.9,6.44,2.41,68.29,19.93
6333.0,,1.35,55.64,11.68,4.74,2.57,73.21,9.09
6342.0,,1.3,71.54,12.53,3.61,2.53,67.81,5.51
6348.0,,1.44,50.74,10.78,5.83,2.57,82.04,28.09
6357.0,,1.47,66.77,15.78,4.32,2.55,79.68,10.79
6363.0,,1.66,56.04,5.76,4.25,2.54,76.48,20.78
6366.0,,1.62,64.7,14.34,4.74,2.59,76.65,15.33
6369.0,,1.66,69.71,14.61,4.35,2.56,76.01,48.27
6372.0,,1.54,64.48,13.29,4.33,2.59,75.32,36.85
6375.0,,1.5,68.57,11.06,5.15,2.57,73.87,149.47
6378.0,,1.61,56.44,4.49,4.9,2.56,75.81,16.66
6381.0,,1.53,60.1,7.76,4.67,2.6,73.67,15.93
6384.0,,1.6,84.31,10.41,4.64,2.54,70.71,34.57
6387.0,,1.8,68.58,9.05,5.45,2.58,65.1,75.29
6390.0,,1.54,90.84,13.8,4.48,2.57,74.54,11.73
6396.0,,1.5,65.43,13.9,4.67,2.58,78.72,14.83
6396.0,,1.74,65.43,13.9,4.67,2.58,78.72,14.83
6396.0,,1.67,65.43,13.9,4.67,2.58,78.72,14.83
6399.0,,1.69,93.42,15.01,3.81,2.5,79.07,6.9
6402.0,,1.54,70.32,11.24,4.12,2.55,75.68,12.29
6408.0,,1.26,97.79,15.78,4.13,2.54,72.86,7.79
6411.0,,1.41,96.39,14.69,4.52,2.55,71.82,12.66
6414.0,,1.47,86.4,12.35,4.41,2.56,72.94,14.1
6417.0,,1.62,83.72,14.28,4.51,2.54,73.26,14.54
6420.0,,1.39,91.72,15.53,4.32,2.54,75.38,9.87
6423.0,,1.43,77.21,19.63,4.44,2.52,78.35,10.59
6423.0,,1.46,77.21,19.63,4.44,2.52,78.35,10.59
6423.0,,1.56,77.21,19.63,4.44,2.52,78.35,10.59
6423.0,,1.31,77.21,19.63,4.44,2.52,78.35,10.59
6426.0,,1.47,73.24,11.74,4.31,2.56,75.19,14.63
6429.0,,1.26,79.29,13.53,4.15,2.52,70.67,10.36
6432.0,,1.41,92.0,12.79,4.31,2.56,70.89,13.35
6435.0,,1.54,66.77,11.71,4.5,2.55,73.21,20.79
6438.0,,1.44,36.94,8.25,4.68,2.62,72.07,15.54
6441.0,,1.52,31.57,3.59,5.55,2.63,61.49,27.71
6444.0,,1.33,43.94,6.44,5.33,2.59,64.08,29.11
6447.0,,1.76,81.61,15.17,3.71,2.51,85.22,6.49
6453.0,,1.18,43.41,10.41,6.16,2.57,67.04,22.47
6453.0,,1.27,43.41,10.41,6.16,2.57,67.04,22.47
6453.0,,1.44,43.41,10.41,6.16,2.57,67.04,22.47
6456.0,,1.21,40.97,14.97,4.16,2.59,75.98,7.83
6462.0,,1.29,65.86,14.06,4.75,2.56,82.25,17.75
6465.0,,1.36,69.9,12.04,4.32,2.55,76.46,9.82
6468.0,,1.35,77.35,17.54,4.52,2.53,79.7,12.91
6471.0,,1.26,101.67,22.55,4.12,2.36,85.14,22.14
6474.0,,1.39,80.6,18.64,4.49,2.54,80.81,12.3
6477.0,,1.28,65.8,13.33,4.32,2.56,76.59,43.63
6711.0,,0.39,32.51,2.22,6.45,2.59,62.34,1513.63
7209.0,,0.72,75.38,3.83,5.2,2.49,68.58,21.84
7209.0,,1.19,75.38,3.83,5.2,2.49,68.58,21.84
7212.0,,1.33,76.09,3.93,4.87,2.5,68.43,31.11
7212.0,,0.64,76.09,3.93,4.87,2.5,68.43,31.11
7215.0,,0.85,98.02,4.12,4.79,2.51,67.89,40.11
7218.0,,0.78,99.61,4.44,5.17,2.49,68.6,13.43
7221.0,,0.72,87.53,12.88,5.16,2.42,81.02,7.67
7221.0,,1.08,87.53,12.88,5.16,2.42,81.02,7.67
7224.0,,1.45,103.5,17.9,5.35,2.36,86.83,8.12
7224.0,,0.85,103.5,17.9,5.35,2.36,86.83,8.12
7227.0,,0.76,133.7,4.55,5.19,2.47,68.97,12.06
7230.0,,3.55,82.68,4.45,5.03,2.55,67.35,29.94
7230.0,,0.74,82.68,4.45,5.03,2.55,67.35,29.94
7233.0,1.59,0.93,74.81,5.13,4.95,2.49,70.63,15.85
7239.0,,0.81,111.48,6.32,5.2,2.46,71.17,11.66
7242.0,,0.77,70.06,4.55,5.19,2.47,69.14,12.06
7245.0,,0.79,89.27,3.96,4.84,2.52,68.25,39.64
7254.0,,0.88,60.83,4.45,4.92,2.55,75.06,27.28
7263.0,1.47,,60.83,4.45,4.92,2.55,75.06,27.28
7269.0,,0.82,63.93,3.67,4.85,2.53,71.01,42.42
7272.0,,0.62,48.99,4.83,4.79,2.53,68.65,29.6
7272.0,,0.77,48.99,4.83,4.79,2.53,68.65,29.6
7287.0,,1.08,44.54,4.55,5.19,2.46,69.64,12.06
7287.0,,0.85,44.54,4.55,5.19,2.46,69.64,12.06
7290.0,,1.07,69.66,11.55,5.15,2.43,77.4,11.38
7290.0,,0.89,69.66,11.55,5.15,2.43,77.4,11.38
7308.0,,1.43,50.62,18.04,5.18,2.32,94.0,7.31
7308.0,,1.22,50.62,18.04,5.18,2.32,94.0,7.31
7311.0,,1.2,42.56,4.55,5.19,2.46,69.9,12.06
7314.0,,0.67,39.45,4.36,5.21,2.47,70.08,12.84
7317.0,,0.53,36.66,5.76,5.16,2.47,71.94,30.79
7320.0,,1.09,42.95,4.56,5.1,2.48,70.72,13.27
7326.0,2.63,0.7,31.69,3.84,4.79,2.5,68.54,40.81
7329.0,,0.85,30.82,3.87,4.87,2.51,68.72,35.91
7332.0,,0.89,32.04,3.66,4.87,2.52,68.56,38.46
7335.0,,0.86,42.61,4.31,4.87,2.57,68.85,27.22
7338.0,,0.82,38.37,3.8,4.85,2.52,74.53,36.65
7347.0,,0.82,51.16,4.45,4.92,2.54,79.07,27.28
7350.0,,0.75,37.18,4.41,5.11,2.55,69.01,29.13
7353.0,,0.75,39.63,4.31,5.24,2.56,69.05,30.08
7356.0,1.79,,39.63,4.31,5.24,2.56,69.05,30.08
7359.0,,0.8,36.63,4.0,4.81,2.52,69.12,34.3
7362.0,,0.78,59.35,3.6,4.79,2.49,69.6,41.07
7362.0,,0.76,59.35,3.6,4.79,2.49,69.6,41.07
7365.0,,0.8,83.15,10.25,5.06,2.44,76.25,8.44
7368.0,,0.76,29.63,3.96,4.78,2.51,69.63,40.81
7371.0,,0.76,34.8,3.87,4.81,2.5,69.52,43.87
7377.0,,0.71,26.78,3.73,4.87,2.48,69.5,39.19
7380.0,,0.74,35.13,4.01,4.84,2.51,69.15,38.08
7383.0,,0.7,36.35,3.93,4.8,2.48,70.14,38.74
7386.0,1.95,0.69,42.18,3.96,4.84,2.5,69.73,39.64
7389.0,,0.64,34.07,4.24,5.11,2.46,70.47,15.23
7392.0,,0.73,35.49,4.0,4.89,2.51,69.62,32.45
7398.0,,0.65,28.98,4.45,5.13,2.53,69.0,40.33
7401.0,,0.75,31.37,4.32,4.9,2.52,69.86,53.37
7404.0,,0.76,29.52,3.72,4.79,2.52,69.69,31.98
7407.0,,0.77,22.75,4.01,4.77,2.51,69.7,30.4
7410.0,,0.72,20.52,4.37,5.52,2.53,69.87,26.76
7416.0,1.65,0.86,30.26,4.45,5.06,2.53,69.91,27.55
7422.0,1.61,,30.26,4.45,5.06,2.53,69.91,27.55
7452.0,,0.96,38.96,3.95,5.44,2.57,81.44,26.76
7488.0,,1.41,22.14,3.93,5.31,2.54,70.17,30.59
7506.0,,0.8,34.84,4.36,5.29,2.6,70.21,119.01
7524.0,,0.72,24.83,6.21,5.26,2.61,76.94,88.17
