,Unnamed: 0,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,0,model_11_XGB,dataset_F,0.5829,0.4887,1.0559,0.476,0.2234,0.3349,506.9583,241,model_11,dataset_F
1,1,model_11_FFNN,dataset_F,0.4335,0.4359,1.2305,0.5992,0.2673,0.411,864.817,241,model_11,dataset_F
2,0,model_3_FFNN,dataset_E,-1.0917,-0.6516,1.6107,1.1558,0.5221,0.6336,998.2755,273,model_3,dataset_E
3,1,model_3_XGB,dataset_E,-0.9083,-0.6057,1.5385,1.0885,0.5052,0.6124,1065.9673,273,model_3,dataset_E
4,0,model_6_XGB,dataset_B,0.1019,0.5534,3.1456,1.4541,0.3982,0.5533,88.3089,142,model_6,dataset_B
5,1,model_6_FFNN,dataset_B,0.0117,0.4523,3.2996,1.5345,0.4352,0.6111,98.6835,142,model_6,dataset_B
6,0,model_7_XGB,dataset_F,0.4339,0.2129,1.23,0.6904,0.3429,0.4167,1138.0469,241,model_7,dataset_F
7,1,model_7_FFNN,dataset_F,0.2737,0.1093,1.3933,0.8244,0.4038,0.4691,1338.8983,241,model_7,dataset_F
8,0,model_5_FFNN,dataset_D,0.1276,0.6396,2.374,0.9218,0.312,0.4864,151.1061,165,model_5,dataset_D
9,1,model_5_XGB,dataset_D,0.9246,0.7283,0.698,0.4239,0.2013,0.2506,152.723,165,model_5,dataset_D
10,0,model_1_FFNN,dataset_D,0.9261,0.5308,0.6909,0.5066,0.2898,0.3497,238.5893,165,model_1,dataset_D
11,1,model_1_XGB,dataset_D,0.9124,0.6906,0.7525,0.4533,0.2249,0.301,172.6858,165,model_1,dataset_D
12,0,model_3_FFNN,dataset_D,0.1664,0.3443,2.3207,1.1225,0.4512,0.5509,319.6585,165,model_3,dataset_D
13,1,model_3_XGB,dataset_D,0.1136,0.3533,2.393,1.1498,0.4522,0.5582,312.2325,165,model_3,dataset_D
14,0,model_4_FFNN,dataset_C,-4.103,-0.2736,2.1525,0.9811,0.3579,0.4778,191.4336,142,model_4,dataset_C
15,1,model_4_XGB,dataset_C,-0.6162,-0.0306,1.2114,0.7225,0.3103,0.3922,146.4636,142,model_4,dataset_C
16,0,model_2_XGB,dataset_F,0.1001,0.0561,1.5508,0.8652,0.4115,0.5609,1072.0726,241,model_2,dataset_F
17,1,model_2_FFNN,dataset_F,0.4259,0.1738,1.2387,0.7736,0.3824,0.4577,1053.571,241,model_2,dataset_F
18,0,model_4_FFNN,dataset_F,-0.0475,-0.211,1.6732,1.1622,0.5546,0.6232,2165.4598,241,model_4,dataset_F
19,1,model_4_XGB,dataset_F,0.1606,-0.1152,1.4978,1.0025,0.5048,0.5587,1525.955,241,model_4,dataset_F
20,0,model_10_FFNN,dataset_E,-0.0557,-0.0528,1.1443,0.6854,0.3517,0.4368,580.6972,273,model_10,dataset_E
21,1,model_10_XGB,dataset_E,-0.1443,-0.0913,1.1913,0.7252,0.3675,0.4563,599.1622,273,model_10,dataset_E
22,0,model_2_XGB,dataset_A,-4.5853,-2.9915,2.014,1.2421,0.4916,0.6662,174.4108,267,model_2,dataset_A
23,1,model_2_FFNN,dataset_A,-4.6417,-1.0935,2.0241,1.1614,0.4174,0.5923,148.1767,267,model_2,dataset_A
24,0,model_8_XGB,dataset_D,0.1569,0.3515,2.3339,1.1109,0.4363,0.5471,326.0482,165,model_8,dataset_D
25,1,model_8_FFNN,dataset_D,0.0682,0.269,2.4535,1.1993,0.486,0.5902,349.2623,165,model_8,dataset_D
26,0,model_10_FFNN,dataset_F,0.2291,0.1783,1.4354,0.7846,0.3781,0.4555,1116.6537,241,model_10,dataset_F
27,1,model_10_XGB,dataset_F,0.1831,0.1936,1.4776,0.7884,0.3746,0.473,1016.9658,241,model_10,dataset_F
28,0,model_4_FFNN,dataset_A,-0.6269,-1.4717,1.087,0.7563,0.3556,0.4721,73.3089,267,model_4,dataset_A
29,1,model_4_XGB,dataset_A,-0.197,-0.1362,0.9324,0.6087,0.2711,0.3757,52.9141,267,model_4,dataset_A
30,0,model_10_FFNN,dataset_A,-0.3198,-0.447,0.979,0.6501,0.2988,0.4038,56.0917,267,model_10,dataset_A
31,1,model_10_XGB,dataset_A,-0.5013,-0.7239,1.0442,0.6769,0.3115,0.4325,57.2979,267,model_10,dataset_A
32,0,model_4_FFNN,dataset_E,-1.5279,-0.3295,1.7707,1.0097,0.4553,0.5712,682.1677,273,model_4,dataset_E
33,1,model_4_XGB,dataset_E,-0.3075,-0.2267,1.2735,0.8164,0.4066,0.4877,708.8665,273,model_4,dataset_E
34,0,model_3_FFNN,dataset_C,-1.8448,-0.0461,1.6072,0.9143,0.3449,0.4392,151.4626,142,model_3,dataset_C
35,1,model_3_XGB,dataset_C,-1.9304,-0.0795,1.6311,0.888,0.3421,0.4385,154.4739,142,model_3,dataset_C
36,0,model_9_XGB,dataset_D,-0.366,-0.4422,2.9708,2.0513,0.81,0.909,937.1462,165,model_9,dataset_D
37,1,model_9_FFNN,dataset_D,-0.249,-0.3906,2.8406,2.0434,0.7992,0.8947,885.97,165,model_9,dataset_D
38,0,model_8_XGB,dataset_F,0.2802,0.1283,1.387,0.8093,0.3924,0.4635,1269.0808,241,model_8,dataset_F
39,1,model_8_FFNN,dataset_F,0.1813,0.0785,1.4792,0.8746,0.425,0.4895,1352.308,241,model_8,dataset_F
40,0,model_3_FFNN,dataset_B,0.4224,0.5781,2.5227,1.2822,0.3747,0.4798,107.2179,142,model_3,dataset_B
41,1,model_3_XGB,dataset_B,0.4406,0.5946,2.4826,1.2608,0.3697,0.4692,103.3683,142,model_3,dataset_B
42,0,model_6_XGB,dataset_F,0.0308,-0.0951,1.6094,1.0273,0.5029,0.5728,1570.2195,241,model_6,dataset_F
43,1,model_6_FFNN,dataset_F,0.073,-0.1569,1.574,1.0726,0.53,0.5824,1773.3215,241,model_6,dataset_F
44,0,model_6_XGB,dataset_C,0.2792,0.1113,0.809,0.5446,0.2679,0.3327,126.9346,142,model_6,dataset_C
45,1,model_6_FFNN,dataset_C,0.1439,0.0751,0.8816,0.5432,0.2687,0.3465,127.2656,142,model_6,dataset_C
46,0,model_10_FFNN,dataset_C,0.118,0.3219,0.8949,0.4975,0.2261,0.3105,94.5231,142,model_10,dataset_C
47,1,model_10_XGB,dataset_C,-2.363,0.156,1.7474,0.8033,0.2793,0.4119,125.2932,142,model_10,dataset_C
48,0,model_7_XGB,dataset_A,0.3612,0.3678,0.6811,0.4533,0.1981,0.271,48.646,267,model_7,dataset_A
49,1,model_7_FFNN,dataset_A,0.1028,0.0791,0.8072,0.561,0.2507,0.3299,62.6816,267,model_7,dataset_A
50,0,model_6_XGB,dataset_E,-0.1065,-0.2005,1.1715,0.7748,0.3974,0.4665,659.4843,273,model_6,dataset_E
51,1,model_6_FFNN,dataset_E,-0.1364,-0.2025,1.1872,0.7882,0.4018,0.4733,648.5252,273,model_6,dataset_E
52,0,model_11_XGB,dataset_B,0.2953,0.3663,2.7863,1.3668,0.3893,0.5762,92.0742,142,model_11,dataset_B
53,1,model_11_FFNN,dataset_B,-0.2071,0.1843,3.6468,1.7683,0.4858,0.6961,131.9263,142,model_11,dataset_B
54,0,model_5_FFNN,dataset_E,-0.1543,-0.1512,1.1966,0.7534,0.3821,0.4664,612.7901,273,model_5,dataset_E
55,1,model_5_XGB,dataset_E,-0.2594,-0.2398,1.2499,0.8138,0.4091,0.5028,498.294,273,model_5,dataset_E
56,0,model_2_XGB,dataset_D,0.2599,0.4081,2.1867,1.0584,0.4006,0.5254,264.9367,165,model_2,dataset_D
57,1,model_2_FFNN,dataset_D,0.0658,0.2369,2.4567,1.1724,0.4768,0.6257,309.5009,165,model_2,dataset_D
58,0,model_4_FFNN,dataset_B,0.4491,0.5551,2.4637,1.2707,0.389,0.4983,111.6409,142,model_4,dataset_B
59,1,model_4_XGB,dataset_B,0.2009,0.4987,2.9671,1.4346,0.4181,0.5623,104.4932,142,model_4,dataset_B
60,0,model_9_XGB,dataset_C,-0.3048,-0.4272,1.0884,0.8098,0.3827,0.4616,201.3828,142,model_9,dataset_C
61,1,model_9_FFNN,dataset_C,-0.5512,-0.935,1.1868,0.8121,0.3764,0.4703,166.1911,142,model_9,dataset_C
62,0,model_3_FFNN,dataset_A,-0.2984,-1.0817,0.971,0.6733,0.311,0.4217,67.6107,267,model_3,dataset_A
63,1,model_3_XGB,dataset_A,-0.2954,-0.3148,0.9699,0.7051,0.3044,0.3931,112.6082,267,model_3,dataset_A
64,0,model_9_XGB,dataset_A,-0.1664,0.066,0.9204,0.604,0.2558,0.3481,64.5899,267,model_9,dataset_A
65,1,model_9_FFNN,dataset_A,-1.8146,-2.3801,1.4297,0.9637,0.4324,0.5752,97.7367,267,model_9,dataset_A
66,0,model_9_XGB,dataset_F,-0.8649,-0.617,2.2325,1.7116,0.7559,0.843,2880.839,241,model_9,dataset_F
67,1,model_9_FFNN,dataset_F,-0.5409,-0.5343,2.0293,1.5608,0.6996,0.7997,2928.2879,241,model_9,dataset_F
68,0,model_5_FFNN,dataset_F,0.3112,0.3867,1.3568,0.6574,0.2965,0.3903,798.1773,241,model_5,dataset_F
69,1,model_5_XGB,dataset_F,0.9048,0.6325,0.5045,0.3007,0.1554,0.2132,392.9462,241,model_5,dataset_F
70,0,model_1_FFNN,dataset_E,-1.7432,-0.766,1.8446,1.2683,0.5605,0.6991,738.5816,273,model_1,dataset_E
71,1,model_1_XGB,dataset_E,-1.8127,-0.6,1.8678,1.1851,0.5123,0.6719,692.8435,273,model_1,dataset_E
72,0,model_2_XGB,dataset_B,0.8149,0.6474,1.428,0.8467,0.2914,0.4103,71.9977,142,model_2,dataset_B
73,1,model_2_FFNN,dataset_B,0.7825,0.6317,1.5478,0.8722,0.2912,0.3947,81.0052,142,model_2,dataset_B
74,0,model_10_FFNN,dataset_B,0.1281,0.562,3.0993,1.4135,0.383,0.5561,74.6629,142,model_10,dataset_B
75,1,model_10_XGB,dataset_B,0.6497,0.7783,1.9645,0.9019,0.2493,0.3491,59.7358,142,model_10,dataset_B
76,0,model_11_XGB,dataset_D,0.3784,0.6571,2.004,0.7053,0.2493,0.418,152.9528,165,model_11,dataset_D
77,1,model_11_FFNN,dataset_D,0.4129,0.6504,1.9475,0.709,0.265,0.4064,148.467,165,model_11,dataset_D
78,0,model_11_XGB,dataset_A,0.3851,0.1843,0.6683,0.4659,0.2079,0.2784,56.4379,267,model_11,dataset_A
79,1,model_11_FFNN,dataset_A,0.1241,-0.1104,0.7975,0.5634,0.2536,0.3322,73.665,267,model_11,dataset_A
80,0,model_1_FFNN,dataset_B,-0.0356,-0.1101,3.3777,1.7389,0.5237,0.7424,111.5445,142,model_1,dataset_B
81,1,model_1_XGB,dataset_B,0.0682,-0.1478,3.2041,1.5493,0.4567,0.6725,97.9375,142,model_1,dataset_B
82,0,model_7_XGB,dataset_E,-0.2881,-0.2168,1.264,0.8133,0.4062,0.4888,633.5469,273,model_7,dataset_E
83,1,model_7_FFNN,dataset_E,-0.3168,-0.2796,1.278,0.8594,0.4265,0.5081,675.6378,273,model_7,dataset_E
84,0,model_6_XGB,dataset_A,-0.2783,-0.2121,0.9635,0.634,0.283,0.3849,57.9809,267,model_6,dataset_A
85,1,model_6_FFNN,dataset_A,-0.3124,-0.2252,0.9763,0.6281,0.2808,0.3898,55.4193,267,model_6,dataset_A
86,0,model_5_FFNN,dataset_C,0.2137,0.4411,0.8449,0.4395,0.2034,0.2941,71.6653,142,model_5,dataset_C
87,1,model_5_XGB,dataset_C,0.9896,0.9789,0.0973,0.0495,0.0264,0.0442,8.4306,142,model_5,dataset_C
88,0,model_1_FFNN,dataset_A,-1.6347,-0.5961,1.3832,0.8205,0.3287,0.4703,109.4667,267,model_1,dataset_A
89,1,model_1_XGB,dataset_A,-0.1903,-0.5803,0.9297,0.6508,0.2888,0.3834,83.2752,267,model_1,dataset_A
90,0,model_11_XGB,dataset_C,-2.5114,0.0195,1.7855,0.9198,0.3141,0.4608,110.2985,142,model_11,dataset_C
91,1,model_11_FFNN,dataset_C,-11.4093,-0.6963,3.3566,1.5067,0.4454,0.6395,217.8438,142,model_11,dataset_C
92,0,model_8_XGB,dataset_B,-0.0703,0.4054,3.4339,1.5558,0.4356,0.6575,83.5741,142,model_8,dataset_B
93,1,model_8_FFNN,dataset_B,-0.038,0.4251,3.3816,1.5449,0.436,0.6391,85.6615,142,model_8,dataset_B
94,0,model_5_FFNN,dataset_B,0.0237,0.451,3.2796,1.4791,0.4067,0.6215,69.1624,142,model_5,dataset_B
95,1,model_5_XGB,dataset_B,0.0921,0.3641,3.1626,1.4192,0.3997,0.6073,66.486,142,model_5,dataset_B
96,0,model_7_XGB,dataset_D,0.2261,0.4267,2.236,1.0044,0.3923,0.5109,287.1648,165,model_7,dataset_D
97,1,model_7_FFNN,dataset_D,0.1089,0.3178,2.3994,1.153,0.4611,0.5669,330.2621,165,model_7,dataset_D
98,0,model_2_XGB,dataset_C,-8.3517,-0.4066,2.9139,1.4325,0.4223,0.5984,177.3713,142,model_2,dataset_C
99,1,model_2_FFNN,dataset_C,-7.2815,-0.1947,2.7421,1.3103,0.3657,0.5489,166.1729,142,model_2,dataset_C
100,0,model_7_XGB,dataset_B,0.0059,0.4335,3.3094,1.4555,0.405,0.6276,77.7192,142,model_7,dataset_B
101,1,model_7_FFNN,dataset_B,0.0468,0.4883,3.2405,1.4727,0.4081,0.6001,82.974,142,model_7,dataset_B
102,0,model_1_FFNN,dataset_F,0.5963,0.2138,1.0388,0.6492,0.3386,0.4306,1023.0173,241,model_1,dataset_F
103,1,model_1_XGB,dataset_F,0.8306,0.5366,0.6729,0.3863,0.1986,0.2782,593.5468,241,model_1,dataset_F
104,0,model_9_XGB,dataset_E,-0.471,-0.3815,1.3508,0.9254,0.4535,0.5304,859.2806,273,model_9,dataset_E
105,1,model_9_FFNN,dataset_E,-0.8297,-0.3901,1.5065,0.9772,0.4667,0.5854,556.2957,273,model_9,dataset_E
106,0,model_8_XGB,dataset_C,0.1603,0.1797,0.8732,0.5297,0.2546,0.3348,114.4385,142,model_8,dataset_C
107,1,model_8_FFNN,dataset_C,0.1357,0.2053,0.8859,0.5109,0.2487,0.331,103.4944,142,model_8,dataset_C
108,0,model_5_FFNN,dataset_A,0.0631,-0.021,0.8248,0.5809,0.2614,0.339,63.0661,267,model_5,dataset_A
109,1,model_5_XGB,dataset_A,-0.3829,0.1232,1.0022,0.536,0.2087,0.3431,70.2374,267,model_5,dataset_A
110,0,model_3_FFNN,dataset_F,0.2708,0.077,1.396,0.8715,0.4216,0.4919,1432.0704,241,model_3,dataset_F
111,1,model_3_XGB,dataset_F,0.3183,0.0823,1.3498,0.8438,0.417,0.4744,1273.5057,241,model_3,dataset_F
112,0,model_1_FFNN,dataset_C,-1.326,-0.5073,1.4533,0.8575,0.3535,0.4789,115.7413,142,model_1,dataset_C
113,1,model_1_XGB,dataset_C,-0.184,-0.1311,1.0368,0.5609,0.2216,0.3125,68.4785,142,model_1,dataset_C
114,0,model_8_XGB,dataset_A,0.1051,0.1279,0.8062,0.546,0.2401,0.3264,57.1112,267,model_8,dataset_A
115,1,model_8_FFNN,dataset_A,-0.0884,0.0576,0.889,0.5898,0.2583,0.3446,57.6877,267,model_8,dataset_A
116,0,model_11_XGB,dataset_E,-0.8726,-0.4217,1.524,1.021,0.4714,0.5804,659.8466,273,model_11,dataset_E
117,1,model_11_FFNN,dataset_E,-1.3464,-0.6833,1.706,1.1477,0.5273,0.6598,838.6539,273,model_11,dataset_E
118,0,model_2_XGB,dataset_E,-1.7754,-0.4549,1.8554,1.1724,0.5057,0.6539,613.8449,273,model_2,dataset_E
119,1,model_2_FFNN,dataset_E,-1.4585,-0.6643,1.7463,1.1095,0.5065,0.6456,657.9802,273,model_2,dataset_E
120,0,model_7_XGB,dataset_C,0.2925,0.4108,0.8015,0.4364,0.2055,0.2802,82.5942,142,model_7,dataset_C
121,1,model_7_FFNN,dataset_C,0.1275,0.2622,0.8901,0.5216,0.2441,0.3231,98.568,142,model_7,dataset_C
122,0,model_9_XGB,dataset_B,-0.076,0.2171,3.443,1.7809,0.5433,0.7002,153.6501,142,model_9,dataset_B
123,1,model_9_FFNN,dataset_B,-0.0463,-0.0279,3.3951,1.6925,0.5077,0.7034,118.3508,142,model_9,dataset_B
124,0,model_4_FFNN,dataset_D,0.0399,0.0378,2.4906,1.4547,0.5896,0.6979,549.1922,165,model_4,dataset_D
125,1,model_4_XGB,dataset_D,0.0727,0.1356,2.4476,1.3124,0.5486,0.6315,436.2567,165,model_4,dataset_D
126,0,model_10_FFNN,dataset_D,0.0772,0.4392,2.4417,1.0772,0.4131,0.5455,247.0046,165,model_10,dataset_D
127,1,model_10_XGB,dataset_D,0.1982,0.4371,2.276,1.0656,0.4104,0.5172,264.9539,165,model_10,dataset_D
128,0,model_8_XGB,dataset_E,-0.1431,-0.2036,1.1907,0.7798,0.3972,0.471,674.0601,273,model_8,dataset_E
129,1,model_8_FFNN,dataset_E,-0.0894,-0.1543,1.1624,0.7428,0.3824,0.455,634.8206,273,model_8,dataset_E
130,0,model_6_XGB,dataset_D,0.0119,0.1195,2.5266,1.3386,0.5537,0.6546,448.8448,165,model_6,dataset_D
131,1,model_6_FFNN,dataset_D,0.0322,0.0626,2.5005,1.3858,0.5821,0.6648,480.9072,165,model_6,dataset_D
